archive  size       crc          hash        
0        2188       2120663786   435767653   
0        2828       293903048    -495637808  
0        593        3643523527   -743698377  
0        181        2920216573   -79144510   
0        495        3393602640   -1067782300 
0        107        56096366     1655373790  
0        509        3110268167   1141635696  
0        58         4148681666   366641454   
0        229        1334421888   -456218265  
0        2139       2808957894   1469854297  
0        154        1996683503   -28420310   
0        88         800723117    -1638266408 
0        112        578906363    2077801715  
0        238        723360461    5100398     
0        129        1456858831   714469862   
0        200        3571457235   -145872100  
0        1166       949399018    -556822213  
0        127        1213248749   -1388307801 
0        191        3868394802   1872942494  
0        70         3305115209   1124787567  
0        703        3487341571   -611502188  
0        233        2037367359   -1066642246 
0        91         1179565733   -271324270  
0        1458       2583575527   1265789443  
0        166        1475780979   137152659   
0        91         2658259580   -355779604  
0        258        2851246845   -2014519410 
0        122        3486388895   -670131254  
0        184        1075100404   -1796426320 
0        84         3755351345   2104323211  
0        154        1874981892   1890666027  
0        974        1814522393   1243994092  
0        85         2831517300   -328816674  
0        310        2900224301   2037852607  
0        112        187714982    -846309513  
0        156        4016067632   -945357541  
0        120        2041594924   -1166999224 
0        57         1850351202   1497860660  
0        116        2598226665   -2009009866 
0        95         388891526    -1710207129 
0        102        3148999509   -1312209309 
0        125        1702579996   2137575905  
0        101        1893286396   1428441461  
0        110        3698208819   538867610   
0        124        2092842647   1106967390  
0        67         3296061654   35598001    
0        71         2906926705   -564388594  
0        93         3400524875   -1369658545 
0        123        142400392    401562610   
0        181        2922138581   1927059510  
0        474        4134689800   83526093    
0        105        3294959539   -700728409  
0        119        1157467144   -1335921347 
0        148        1526248111   2061561515  
0        6381       1382186529   -671648752  
0        244        1156085737   1716941593  
0        430        68018818     -981292095  
0        222        2738491639   1013824123  
0        274        4047433807   -1324067378 
0        381        500822245    -1379118932 
0        484        1801422626   1160914332  
0        12258      3298880075   -709529756  
0        204        1391687965   -1845418770 
0        157        3467308452   558462201   
0        208        2972763815   122374477   
0        87         974640922    1874992800  
0        200        1724834477   1662599947  
0        103        2034928782   -1158947124 
0        642        3495849533   1014077923  
0        984        1494642452   1014510427  
0        189        1756890567   1814741791  
0        252        2541273027   -578092225  
0        582        1439087780   475011486   
0        135        1046858442   2061673032  
0        1807       1970653940   -1153109210 
0        86         556067808    -1598312045 
0        58         3289396296   -998167068  
0        59         3266141572   -1007553474 
0        129        4061783953   -176729119  
0        274        3884232633   -794978221  
0        201        1370320775   -560423893  
0        1629       4288065683   -1452752150 
0        236        1014978494   1040992596  
0        76         3530352591   -1922906354 
0        73         2961034674   580669910   
0        996        1213101776   -445760069  
0        1066       3003527142   -1931420401 
0        1793       1272713572   56093666    
0        786        305089974    -1363965952 
0        83         2815202214   -975125551  
0        199        3854243226   -1524364348 
0        551        4277195975   -223209760  
0        34         4230214543   -1992683561 
0        2922       2774887478   1455315891  
0        741        3827608265   -2014143333 
0        128        2561600201   1254899484  
0        150        2998742951   -38039041   
0        151        2396398007   -1879656918 
0        158        550329295    -1554598918 
0        1941       28846300     -1263817301 
0        729        1653424663   -89869400   
0        354        2059368528   1942155192  
0        705        3590351692   1696674975  
0        92         3900492985   1298441113  
0        331        1272776698   745832597   
0        422        315000783    -195934149  
0        1426       2365364816   -1564092338 
0        133        1669609261   -275652149  
0        58         3459469587   400317028   
0        83         1888584914   585072475   
0        58         88235696     1561786962  
0        74         3600427057   -421821635  
0        144        1590183412   1133820243  
0        71         2576057560   1596420090  
0        445        890045097    -2008302649 
0        586        911533208    -1340190159 
0        527        515188973    322258665   
0        2962       2317052757   284780649   
0        660        2366138760   -1215408633 
0        262        1624860691   -1978710292 
0        114        196265733    -207820238  
0        140        2189686633   -296382178  
0        105        891832367    665684625   
0        135        2838396492   -1652963982 
0        574        548630565    78891076    
0        247        4282195149   519443545   
0        1281       4233791467   -1124727632 
0        271        1165795915   223116798   
0        64         3406196536   -74616950   
0        77         3619848037   -179403807  
0        726        3977447408   -1927952010 
0        150        2857892809   2098270888  
0        160        2129098623   1863316376  
0        83         1293985900   1208862355  
0        133        3200813490   1809640409  
0        87         1086955345   -667708109  
0        190        1112717243   781594317   
0        1403       2325643627   263763598   
0        680        394761065    1243491700  
0        2834       2516852774   -26076923   
0        513        2053510688   1398235081  
0        56         838154624    236899267   
0        230        3455747263   -834224436  
0        1207       296371996    1197938662  
0        1951       3674122007   1212161474  
0        134        610851806    -1735410192 
0        325        3959939134   -2087747920 
0        1346       177909278    -1665931552 
0        1026       1227650769   -990167643  
0        163        1001208060   -1471347210 
0        459        3756162043   1435380213  
0        110        3638333862   142363083   
0        536        2596196190   -226409393  
0        554        1962482792   1176072147  
0        872        3344335259   -1133873584 
0        203        2564254509   -1679886056 
0        123        1392831414   -1761053711 
0        84         1834599836   386776849   
0        4550       3852196744   1984393407  
0        352        4113983033   2036144603  
0        674        4277279667   -1383596042 
0        1084       834783530    875406335   
0        730        398826478    1105390381  
0        565        1238448114   -705332068  
0        76         513668322    1949252764  
0        240        4066060832   487853968   
0        628        236060883    -450301117  
0        68         1294047138   206304083   
0        80         343356489    601409534   
0        539        890841455    1678816741  
0        448        3630760529   1606872032  
0        727        1646238376   -59983525   
0        1268       3409640179   -727339480  
0        95         3857771049   457958650   
0        3001       1800757244   264053210   
0        96         24495642     1148553132  
0        1299       2821225378   -1695824702 
0        98         2313836249   975307543   
0        72         3455963016   844379260   
0        180        3741389008   -1291481741 
0        1101       3302362352   -656748981  
0        91         4217008723   -1957477082 
0        152        2230105422   1045002246  
0        191        3026174512   -1506884707 
0        124        1972722721   -653133213  
0        70         2174327739   6324723     
0        1328       2920673167   1328883298  
0        9451       662794184    -1014535805 
0        63         3136423437   1508512435  
0        522        2768916232   88729517    
0        362        620503121    1392182662  
0        104        3367190414   415432276   
0        73         4073180450   -741812425  
0        71         3008874988   -1515703634 
0        162        1662056665   1302585794  
0        56         345912026    1834715933  
0        53         3800065368   -1660007672 
0        162        3991753739   -1719018400 
0        1620       2239466428   -851014289  
0        113        2428164821   -1754529981 
0        286        1932757018   1289680088  
0        150        1717768602   -209353651  
0        114        357520053    1140734097  
0        1558       1383789069   -97809266   
0        90         2372608807   1027485433  
0        101        3046469709   -613611275  
0        66         3981080157   -524724042  
0        135        107216718    699412529   
0        2965       1538225793   1720287927  
0        46         1135033438   856976893   
0        399        81591962     -1772949227 
0        113        2886245434   -1172214096 
0        1032       2691625052   -993463983  
0        156        1487751255   -1199313316 
0        119        407387812    1937996830  
0        105        2904600955   -838517722  
0        213        1545836237   -477857914  
0        300        4193211642   368919393   
0        62         2848613738   -1231660769 
0        100        2408183711   -1254079389 
0        177        1583795289   -887416709  
0        195        1838655679   -898485969  
0        1853       3371456319   -1522399410 
0        728        2531051329   1041964027  
0        169        292976008    -1893617722 
0        71         1674171109   2072032636  
0        71         3021961573   -1965365819 
0        589        257972032    274376967   
0        141        1525476441   -1021287020 
0        2209       4012487793   490834451   
0        90         3871816675   728832185   
0        425        1891901174   1571834806  
0        92         2649913190   194987204   
0        63         2954506095   -25630575   
0        83         4277135451   1110334269  
0        73         3935688185   1630331945  
0        1433       2751179226   680152950   
0        706        1594199138   840622650   
0        236        3461579589   -1264801865 
0        722        1867663139   506464063   
0        3773       1411305992   -177778506  
0        214        1526596696   742310009   
0        175        161371349    -1631189099 
0        1903       3778358684   2103958633  
0        64         2064567465   856347128   
0        93         2001593820   870525505   
0        52         958480367    1148061651  
0        152        2393896953   -2080410729 
0        1085       3730373743   -1445732761 
0        313        3871041146   -1087539010 
0        94         2353639123   657305001   
0        151        988266689    1519000096  
0        1502       4189962942   -233316650  
0        1326       3752495545   -567165470  
0        1154       743028586    -1072057172 
0        1290       2156302634   -62708476   
0        171        904421006    840872908   
0        528        3507935924   -2123116370 
0        120        3786104311   -323357796  
0        120        47658069     53308769    
0        220        3499471448   -2133833135 
0        187        4146017846   -498077870  
0        95         2402634863   1187999905  
0        1176       3849546841   2066969651  
0        1010       756125899    -892998817  
0        2645       4163482814   -561540986  
0        132        259188564    881683708   
0        298        3164774662   -722963115  
0        496        862793133    1462651693  
0        77         2432810762   1859075691  
0        234        1701010945   -448078437  
0        109        2805263612   -1903154352 
0        562        1954513942   294667578   
0        119        1526780098   -133319889  
0        347        616271840    -1870291640 
0        1190       698986941    1558542895  
0        117        3849306263   -78765871   
0        647        3240859919   -767382720  
0        326        2066906908   -1746790372 
0        287        1646058990   195743541   
0        327        3496699499   -23358999   
0        226        3934654045   408853857   
0        618        3184763957   -1396709298 
0        104        1611274194   -1157771490 
0        84         2778476207   2098913463  
0        239        3411492605   -970171567  
0        172        57639425     -661584785  
